sampleID,filename,date,time
BLK_1,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/BLK_1.mzXML,24-Jul,21:24:38
PB_PM1,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM1.mzXML,25-Jul,22:24:38
PB_PM10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM10.mzXML,25-Jul,23:24:38
PB_PM11,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM11.mzXML,25-Jul,00:24:38
PB_PM12,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM12.mzXML,25-Jul,01:24:38
PB_PM2,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM2.mzXML,25-Jul,02:24:38
PB_PM3,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM3.mzXML,26-Jul,03:24:38
PB_PM4,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM4.mzXML,26-Jul,04:24:38
PB_PM5,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM5.mzXML,25-Jul,05:24:38
PB_PM6,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM6.mzXML,26-Jul,06:24:38
PB_PM7,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM7.mzXML,25-Jul,07:24:38
PB_PM8,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM8.mzXML,26-Jul,08:24:38
PB_PM9,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM9.mzXML,26-Jul,09:24:38
PM1_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM1_D0.mzXML,26-Jul,10:24:38
PM1_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM1_D10.mzXML,24-Jul,11:24:38
PM1_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM1_D30.mzXML,25-Jul,12:24:38
PM1_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM1_D50.mzXML,26-Jul,13:24:38
PM10_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM10_D0.mzXML,25-Jul,14:24:38
PM10_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM10_D10.mzXML,24-Jul,15:24:38
PM10_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM10_D30.mzXML,25-Jul,16:24:38
PM10_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM10_D50.mzXML,24-Jul,17:24:38
PM11_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM11_D0.mzXML,25-Jul,18:24:38
PM11_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM11_D10.mzXML,26-Jul,19:24:38
PM11_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM11_D30.mzXML,25-Jul,20:24:38
PM11_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM11_D50.mzXML,26-Jul,21:24:38
PM12_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM12_D0.mzXML,26-Jul,22:24:38
PM12_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM12_D10.mzXML,25-Jul,23:24:38
PM2_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM2_D0.mzXML,25-Jul,00:24:38
PM2_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM2_D10.mzXML,24-Jul,01:24:38
PM2_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM2_D30.mzXML,26-Jul,02:24:38
PM2_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM2_D50.mzXML,25-Jul,03:24:38
PM3_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM3_D0.mzXML,25-Jul,04:24:38
PM3_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM3_D10.mzXML,26-Jul,05:24:38
PM3_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM3_D30.mzXML,26-Jul,06:24:38
PM3_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM3_D50.mzXML,25-Jul,07:24:38
PM4_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM4_D0.mzXML,24-Jul,08:24:38
PM4_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM4_D10.mzXML,25-Jul,09:24:38
PM4_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM4_D30.mzXML,25-Jul,10:24:38
PM4_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM4_D50.mzXML,26-Jul,11:24:38
PM5_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM5_D0.mzXML,25-Jul,12:24:38
PM5_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM5_D10.mzXML,24-Jul,13:24:38
PM5_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM5_D30.mzXML,26-Jul,14:24:38
PM5_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM5_D50.mzXML,24-Jul,15:24:38
PM6_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM6_D0.mzXML,25-Jul,16:24:38
PM6_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM6_D10.mzXML,26-Jul,17:24:38
PM6_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM6_D30.mzXML,24-Jul,18:24:38
PM6_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM6_D50.mzXML,25-Jul,19:24:38
PM7_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM7_D0.mzXML,25-Jul,20:24:38
PM7_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM7_D10.mzXML,24-Jul,21:24:38
PM7_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM7_D30.mzXML,26-Jul,22:24:38
PM7_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM7_D50.mzXML,24-Jul,23:24:38
PM8_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM8_D0.mzXML,25-Jul,00:24:38
PM8_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM8_D10.mzXML,25-Jul,01:24:38
PM8_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM8_D30.mzXML,25-Jul,02:24:38
PM8_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM8_D50.mzXML,25-Jul,03:24:38
PM9_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM9_D0.mzXML,25-Jul,04:24:38
PM9_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM9_D10.mzXML,24-Jul,05:24:38
PM9_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM9_D30.mzXML,24-Jul,06:24:38
PM9_D50,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM9_D50.mzXML,24-Jul,07:24:38
QC2,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/QC2.mzXML,24-Jul,08:24:38
QC3,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/QC3.mzXML,25-Jul,09:24:38
QC4,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/QC4.mzXML,25-Jul,10:24:38
QC5,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/QC5.mzXML,25-Jul,11:24:38
QC6,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/QC6.mzXML,25-Jul,12:24:38
QC7,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/QC7.mzXML,26-Jul,13:24:38