,neutral_mass_da,m_z,charge,retention_time_min,chromatographic_peak_width_min,identifications,anova_p,q_value,max_fold_change,highest_mean,lowest_mean,isotope_distribution,maximum_abundance,minimum_cv,nist,no_id,accepted,accepted_compound_id,accepted_description,adducts,formula,score,fragmentation_score,mass_error_ppm,isotope_similarity,retention_time_error_mins
3.76_413.2388m/z,NA,413.2388448,1,3.763216667,0.177,1,2.76373368635063e-11,3.48560307952465e-10,77.75388582,PM,Blank,100 - 28.7 - 2.61,199.7766908,4.56,x,NA,x,3386-18-3,Nonaethylene glycol,M-H,C18H38O10,38.2,0,-0.908051416,92.20018271,NA
3.66_719.3050m/z,NA,719.3050167,1,3.6625,0.100533333,1,1.35018107805251e-10,8.07621136564824e-10,20.35769686,PM,Blank,100 - 46.1 - 8.55,267.5913208,3.46,x,NA,x,155213-67-5,Ritonavir,M-H,C37H48N6O5S2,37.5,0,-0.649033947,88.29855876,NA
4.17_660.3028m/z,NA,660.3027717,1,4.169716667,0.383233333,1,5.58649682069756e-10,2.11739133412855e-09,6.681394317,PM,Blank,100 - 50.7 - 21.4 - 22.1,521.7345045,2.2,x,NA,x,41849-35-8,10-Hydroxyaconitine,M-H,C34H47NO12,35.3,0,0.335995418,76.87741515,NA
1.60_485.2019m/z,NA,485.2018998,1,1.602616667,0.281783333,1,9.45599598622948e-10,3.00539775635225e-09,12.06883972,PM,Blank,100 - 11.6,63.05084492,9,x,NA,x,188400-61-5,"1H-Indole, 3-[3-[4-[2-(3,4-difluorophenyl)ethyl]-1-piperazinyl]propyl]-5-(4H-1,2,4-triazol-4-yl)-",M+Cl,C25H28F2N6,35.7,0,-4.115261757,83.15309955,NA
3.56_580.2446m/z,NA,580.2446181,1,3.56215,0.1251,1,1.03507780124801e-09,3.17531556685822e-09,47.3380992,PM,Blank,100 - 50.1 - 18.5,801.9314145,5.99,x,NA,x,1178882-56-8,"1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phosphoserine",M+Cl,C26H44NO9P,35.9,0,-0.278414302,79.74669117,NA
3.26_426.2338m/z,NA,426.2338203,1,3.260766667,0.176183333,1,1.59594248927419e-09,4.43920362356285e-09,18.58566822,PM,Blank,100 - 26.8,177.6079188,5.43,x,NA,x,S8AsVAPep8Ulkmn,20-Hydroxy-N-arachidonoyltaurine,M-H,C22H37NO5S,37.3,0,4.335840575,91.42358276,NA
3.81_561.2361m/z,NA,561.2360624,1,3.8141,0.152333333,1,4.13922829345381e-09,9.66974479275544e-09,10.15561397,PM,Blank,100 - 31,215.6549579,4.5,x,NA,x,155412-74-1,"(R)-1-[2,3-Dihydro-2-oxo-1-pivaloylmethyl-5-(2-pyridyl)-1H-1,4-benzodiazepin-3-yl]-3-(3-ethyl(methyl)aminophenyl)urea",M+Cl,C30H34N6O3,37.2,0,-4.898477872,91.87235094,NA
3.46_509.2715m/z,NA,509.2715385,1,3.46185,0.301,1,6.60942955921229e-09,1.42274947161415e-08,53.23424515,PM,Blank,100 - 26.7 - 9.36 - 1.37,2179.741933,6.7,x,NA,x,c87ZGmun9xfF7u0,Leukotriene D4 methyl ester,M-H,C26H42N2O6S,38.1,0,4.814718363,96.07923891,NA
1.35_218.0606m/z,NA,218.0605816,1,1.34785,0.38055,1,1.30775265061445e-08,2.51832974506522e-08,5.223799495,PM,Blank,100 - 3.5,55.76133746,6.52,x,NA,x,23135-22-0,Oxamyl,M-H,C7H13N3O3S,37.8,0,0.437162089,89.40172805,NA
1.60_410.2029m/z,NA,410.2029369,1,1.602616667,0.560066667,1,1.7719704370478e-08,3.23704584797987e-08,68.33294002,PM,Blank,100 - 15.9,258.5619066,3.63,x,NA,x,1893-33-0,Pipamperone,M+Cl,C21H30FN3O2,37.3,0,3.544839789,90.69958009,NA
2.98_353.1457m/z,NA,353.1457477,1,2.98455,0.254283333,1,2.25527996278174e-08,3.93897839773674e-08,26.21121546,PM,Blank,100 - 14.4,53.31590496,6.57,x,NA,x,wfaKG@aEzt7nEfU,PyroGlu-Asp-Lys,M-H2O-H,C15H24N4O7,38.2,0,-2.446095699,94.08663936,NA
3.31_390.1626m/z,NA,390.1626063,1,3.311083333,0.050466667,2,2.22423175988418e-07,2.88744928874437e-07,4.156553223,PM,Blank,100 - 36 - 24.3,63.98725129,8.73,x,NA,x,619294-47-2,(4-Methyl-1-naphthalenyl)(1-pentyl-1H-indol-3-yl)methanone,M+Cl,C25H25NO,36.1,0,-1.15257223,81.94312442,NA
8.60_480.3082m/z,NA,480.3082088,1,8.599783333,0.675466667,3,8.15103205042966e-07,8.92456333303117e-07,7.297182803,PB,PM,100 - 28.1 - 4.91 - 0.418,59236.67294,3.5,x,NA,x,69747-55-3,1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,M-H,C23H48NO7P,58.2,96.3,-2.813665322,98.17342988,NA
4.14_839.4589m/z,NA,839.4589096,1,4.144233333,0.1783,1,2.84091958102639e-06,2.72501761872654e-06,19.12182012,PM,Blank,100 - 46.9 - 10.2,233.1863786,5.02,x,NA,x,65195-56-4,Avermectin B1b,M-H2O-H,C47H70O14,38.1,0,0.225785336,90.8806623,NA
1.68_296.0993m/z,NA,296.0993408,1,1.679766667,0.408966667,1,3.83263250514077e-06,3.56969243754706e-06,5.671002358,PB,PM,100 - 15.4 - 6.89,638.3083485,8.96,x,NA,x,91-80-5,Methapyrilene,M+Cl,C14H19N3S,39.4,0,-0.111501301,97.08940887,NA
3.39_378.2122m/z,NA,378.2121822,1,3.3865,0.12565,1,5.13288930459321e-06,4.6258839957659e-06,Inf,PM,Blank,100 - 25.8,39.79358101,6.74,x,NA,x,218461-97-3,14(15)-EET-SI,M-H2O-H,C21H35NO4S,37.5,0,3.382795064,91.7210314,NA
3.19_369.2126m/z,NA,369.2125509,1,3.185333333,0.301383333,7,5.2298037774845e-06,4.70069048827005e-06,9.966920417,PM,Blank,100 - 42.3,60.22389402,4.54,x,NA,x,5117-19-1,Octaethylene glycol,M-H,C16H34O9,35.9,0,-1.229782134,80.78546938,NA
7.74_301.2160m/z,NA,301.2160461,1,7.740516667,0.50265,23,6.63820808077809e-06,5.81453814125247e-06,4.273442937,PB,PM,100 - 19.7,4185.053304,8.79,x,NA,x,10417-94-4,"cis-5,8,11,14,17-Eicosapentaenoic acid",M-H,C20H30O2,38.8,2.87,-4.161224135,95.74123875,NA
1.15_827.2660m/z,NA,827.2659968,1,1.148716667,0.650866667,1,9.18612445910405e-06,7.77753841450541e-06,90.83655032,PM,Blank,100 - 32.4 - 9.97 - 0.732,194.0480315,7.94,x,NA,x,34620-76-3,Maltopentaose,M-H,C30H52O26,39,0,-1.700560652,96.79475096,NA
3.66_392.2276m/z,NA,392.2275891,1,3.6625,0.126033333,1,6.42310938161472e-05,4.31417305676589e-05,Inf,PM,Blank,100 - 19.5,23.31095152,7.17,x,NA,x,119959-65-8,N-Arachidonoyltaurine,M-H2O-H,C22H37NO4S,37,0,2.676212261,87.96789946,NA
1.73_165.0411m/z,NA,165.041132,1,1.730966667,0.281966667,1,7.571959174002e-05,5.00132694017024e-05,4.571201476,PB,Blank,100 - 7.11,50.95492773,6.56,x,NA,x,1076-22-8,3-Methylxanthine,M-H,C6H6N4O2,38.8,0,-4.017158815,98.45054125,NA
2.55_318.0277m/z,NA,318.0276853,1,2.55095,0.486166667,1,0.000182233,0.000109165,3.836715718,PB,PM,100 - 25.3 - 11.2,127.3060186,4.21,x,NA,x,76824-35-6,Famotidine,M-H2O-H,C8H15N7O2S3,37.1,0,1.75251402,87.51120313,NA
1.68_214.0714m/z,NA,214.0713845,1,1.679766667,0.230583333,1,0.00062301,0.000323346,2.868504888,PB,PM,100 - 10.1,47.54880989,8.24,x,NA,x,13726-67-5,N.alpha.-(tert-Butoxycarbonyl)-L-aspartic acid,M-H2O-H,C9H15NO6,38.9,0,-3.052912067,98.0087244,NA
1.73_147.0657m/z,NA,147.0657003,1,1.730966667,0.409533333,2,0.000734047,0.000373462,4.544669439,PB,PM,100 - 5,55.27835882,7.51,x,NA,x,150-97-0,Mevalonic acid,M-H,C6H12O4,39.3,3.61,-3.931676432,97.40967416,NA
0.97_270.0282m/z,NA,270.0282129,1,0.974466667,0.198183333,1,0.00199629,0.000895571,6.715636134,PM,Blank,100,38.41474783,8.11,x,NA,x,19687-73-1,"3-Amino-2-oxazolidinone, 2-nitrobenzaldehyde derivative",M+Cl,C10H9N3O4,37.1,0,-2.102492548,87.87955306,NA
6.12_345.2629m/z,NA,345.2629326,1,6.12425,0.218733333,1,0.002100292,0.000935811,700.0281836,PM,Blank,100 - 18.2 - 2,350.2002655,3.02,x,NA,x,58797-44-7,Pentapropylene glycol monobutyl ether,M-H2O-H,C19H40O6,38.1,0,-4.708541073,96.1738108,NA
3.44_138.0555m/z,NA,138.0554729,1,3.436733333,0.1505,2,0.002118455,0.000942868,2.07898278,PB,PM,100 - 6.88 - 0.117,121.131072,4.22,x,NA,x,87980-11-8,"3-Amino-2,3-dihydrobenzoic acid",M-H,C7H9NO2,38.8,0.464,-4.164714019,98.32989025,NA
4.27_206.0815m/z,NA,206.0814813,1,4.2717,0.1279,4,0.008062372,0.003010775,4.219267999,PB,Blank,100 - 11.5 - 0.194 - 0.249,41.93472738,3.5,x,NA,x,56613-60-6,(3-Phenylpropionyl)glycine,M-H,C11H13NO3,39.4,3.27,-3.793100112,97.93948286,NA
2.35_225.0876m/z,NA,225.0876097,1,2.34565,0.537683333,4,0.008332846,0.003099034,2.928081567,PB,Blank,100 - 9.58,81.95227761,4.19,x,NA,x,28860-95-9,Carbidopa,M-H,C10H14N2O4,38.9,0.361,-2.082425961,96.59611975,NA
3.14_429.1535m/z,NA,429.1535265,1,3.135166667,0.125666667,2,0.016890125,0.005649641,2.386556982,PB,QC,100 - 25.3 - 4.08,133.0135562,3.31,x,NA,x,58053-83-1,17.beta.-Hydroxy Wortmannin,M-H,C23H26O8,38.7,0,-4.567700042,98.85072112,NA
3.16_151.0394m/z,NA,151.039378,1,3.160316667,0.1257,14,0.038766248,0.011425129,2.207071675,PB,Blank,100 - 7.95,38.25143701,4.9,x,NA,x,83-40-9,Cresotinic acid,M-H,C8H8O3,39,1.92,-4.535861324,98.29904438,NA
2.32_364.1005m/z,NA,364.1004977,1,2.31985,0.588533333,1,0.204535809,0.045930054,4.97203863,PM,Blank,100 - 19.7 - 2.98,72.76972366,4.96,x,NA,x,171118-09-5,"Ethanesulfonic acid, 2-[(2-ethyl-6-methylphenyl)(2-methoxy-1-methylethyl)amino]-2-oxo-",M+Cl,C15H23NO5S,37.9,0,4.261364084,94.46493954,NA
7.28_299.2007m/z,NA,299.200717,1,7.284033333,0.4112,21,0.215890516,0.04800142,4.767531769,PM,Blank,100 - 18.6,316.3045128,8.76,x,NA,x,34262-64-1,"8,11,14-Eicosatriynoic acid",M-H,C20H28O2,39.7,7.3,-3.120301054,94.86399715,NA
5.41_406.2502m/z,NA,406.2502073,1,5.4149,0.15015,1,0.246378388,0.053570112,1.812287773,Blank,QC,100 - 9.76,68.83633768,7.95,x,NA,x,162758-94-3,Docosahexaenoyl ethanolamide,M+Cl,C24H37NO2,35.7,0,-4.372465724,83.72766138,NA
6.03_434.2742m/z,NA,434.2741628,1,6.027483333,0.48825,1,0.480750449,0.092824591,2.510491894,PM,PB,100 - 15.9,325.3733364,8.21,x,NA,x,139332-94-8,N-Acetyl-S-geranylgeranyl-L-cysteine,M-H,C25H41NO3S,36.2,0,1.663394582,82.77254019,NA